상품명,상품설명,가격,할인정보,판매단위,중량/용량,배송구분,포장타입
[비비고] 왕교자,야채와 돼지고기를 가득담아 만든 비비고 왕교자! 3천번 이상의 수타공법으로 쫄깃해요!,"4,200원",X,1봉,385g,샛별배송/택배배송,냉동/종이포장
[네이처밸리] 그래놀라 바 5종,식사대용으로 간판하게 즐기는 건강 스낵 바,"4,410원",10%,1박스,42gX5개입,샛별배송/택배배송,냉장/종이포장
[존쿡 델리미트] 바베큐 백립 450g (냉동),훈연향 가득한 정통 바베큐 백립,"12,750원",15%,1개,450g,샛별배송/택배배송,냉동/종이포장
[유기방아] 떡볶이떡 & 떡국떡 (냉동),냉동상태 그대로 조리해서 먹는 쫀득함의 절정,"3,870원",10%,1봉,500g,샛별배송/택배배송,냉동/종이포장
[그라놀로지] 그래놀라 5종,"철학이 담긴 그래놀라, 청담동 그라놀로지 새롭게 리뉴얼!","9,900원",10%,1팩,150g,샛별배송/택배배송,냉장/종이포장
[고메] 크리스피 핫도그,빵 맛이 남다른 인기 핫도그,"6,980원",X,1봉지,80g*6(480g),샛별배송/택배배송,냉동/종이포장
[풀무원] 올바른 핫도그 5개입,재료부터 맛까지 이름처럼 올바른 핫도그 ,"6,300원",X,1봉(5개입),375g(75g*5개),샛별배송/택배배송,냉동/종이포장
[피코크] 홍대 초마 짬뽕,3대를 이어온 불맛의 고수! 칼칼한 국물과 쫄깃한 중화면발까지 그대로 재현하였습니다!,"8,480원",X,1개,1240g,샛별배송/택배배송,냉동/종이포장
[크레이브푸드] 시저 샐러드 200g,정통 미국식 샐러드의 깊은 맛,"5,900원",X,1,총,샛별배송/택배배송,냉장/종이포장
[LOTS OF LOVE] 봄맛듬뿍 곤드레밥,강원도산 곤드레가 주는 깊은 풍미,"6,800원",X,1팩,230g,샛별배송/택배배송,냉동/종이포장
[플라하반] 오트밀 6종,고급 아이리쉬 귀리로 만든 오트밀 [신제품 입고],"8,900원",X,1팩,옵션별,샛별배송/택배배송,상온/종이포장
[제이키친] 떡볶이 2종,언제나 성공하는 황금 비율의 맛,"5,900원",X,1팩,쌀떡볶이,샛별배송/택배배송,냉장/종이포장
[창화당] 납작 왕군만두 2종,"만두 잘하는집 , 창화당의 인기 만두 2종","7,950원",X,1봉,500g,샛별배송/택배배송,냉동/종이포장
[씨즐푸드] 우리밀 통등심 돈까스 (냉동),,"4,600원",X,1팩,260g(130g*2),샛별배송/택배배송,냉동/종이포장
[훅스] 유기농 씨리얼 2종,건강하게 즐기는 고소한 씨리얼,"4,500원",X,1봉,제품별상이(하단참조),샛별배송/택배배송,상온/종이포장
[Better me] 오리지널 닭가슴살 (냉장),"100g당 가격 : 1,650원 ","9,900원",X,1팩,600g,샛별배송/택배배송,냉장/종이포장
[바이오노바] 유기농 스위트콘 340g,네덜란드 청정 지역에서 올바르게 자란 NON-GMO 스위트콘!,"5,900원",X,1병,340g,샛별배송/택배배송,냉장/종이포장
[비비고] 김치 왕교자,칼칼한 김치가 큼직하게 들어있는 비비고 김치 왕교자!,"4,500원",X,1봉,385g,샛별배송/택배배송,냉동/종이포장
[진가네반찬] 수제짜장,집에서 만든 듯 포근한 한 끼,"3,900원",X,PK,250g,샛별배송/택배배송,냉장/종이포장
[백두산떡갈비] 담양 한우 떡갈비,떡갈비의 본 고장! 담양에서 온 정통 떡갈비 ,"13,000원",X,1팩(2개),총,샛별배송/택배배송,냉동/종이포장
[루토사] 벨지안 모둠 감자 400g,한 번에 만나는 다섯 가지 감자튀김,"3,200원",X,1봉,400g,샛별배송/택배배송,냉동/종이포장
[LOTS OF LOVE] 입맛듬뿍 불낙볶음밥,불고기와 낙지가 만나 감칠맛 두 배,"6,800원",X,1팩,230g,샛별배송/택배배송,냉동/종이포장
[진가네반찬] 수제카레,"편안한 맛, 부담 없는 용량","3,900원",X,PK,250g,샛별배송/택배배송,냉장/종이포장
[코이누르] 정통 인도커리 4종,진짜 인도에서 만든 정통 커리! 환상적인 향신료 배합으로 맛있는 커리를 소개합니다.,"6,400원",X,1팩,375g,샛별배송/택배배송,냉장/종이포장
[고메] 크리스피 너겟,더 맛있게 만든 고품격 치킨너겟! ,"7,950원",X,해당사항없음,해당사항없음,샛별배송/택배배송,기타
[씨즐푸드] 우리밀 통살 생선까스 (냉동),부드럽게 씹히는 통 생선 살,"4,800원",X,1팩,270g(90g*3),샛별배송/택배배송,냉동/종이포장
[고메] 함박스테이크,촉촉한 육즙과 부드러운 식감이 일품,"7,950원",X,1팩,540g,샛별배송/택배배송,냉동/종이포장
[크레이브푸드] 아시안 치킨 샐러드 275g,부드러운 치킨에 고소한 드레싱 한 스푼,"6,900원",X,1,총,샛별배송/택배배송,냉장/종이포장
[풀무원] 모짜렐라 핫도그 5개입,주욱 늘어나는 치즈와 탱글탱글한 소시지의 만남,"7,980원",X,1봉지,80g*5개입,샛별배송/택배배송,냉동/종이포장
[LOTS OF LOVE] 손맛듬뿍 새우볶음밥,탱글탱글 새우와 부드러운 밥알의 하모니,"6,800원",X,1팩,230g,샛별배송/택배배송,냉동/종이포장
[다노바] 건강한 시리얼 바,건강을 담은 견과류 시리얼 바! 다노바,"1,500원",X,1개/1박스,30g/30g*10개,샛별배송/택배배송,상온/종이포장
[피코크] 홍대 초마 하얀 짬뽕,"불 맛 고수의 특별한 백짬뽕! 시원하고 담백한 불맛을 보여드립니다
","8,480원",X,1개,1240g,샛별배송/택배배송,냉동/종이포장
[플라하반] 유기농 오트밀 3종,"우리 가족, 아이가 먹을 더 깐깐한 유기농 귀리100% 플라하반 오가닉 제품 출시!","13,000원",X,1개,제품별,샛별배송/택배배송,상온/종이포장
[다노] 흑임자선식,한 팩씩 즐기는 초간단 단백질 쉐이크!,"2,500원",X,1팩,25g,샛별배송/택배배송,상온/종이포장
[창화당] 김치궁중만두,육즙 가득한 궁중 만두,"11,900원",X,1봉,700g,샛별배송/택배배송,냉동/종이포장
[피코크] 홍대 초마 짜장,담백하고 부드러운 불맛 짜장소스와 중화 면발로 만든 홍대초마 짜장면,"6,980원",X,1개,820g,샛별배송/택배배송,냉동/종이포장
[존쿡 델리미트] 슈바인 학센 650g (냉동),"겉은 바삭, 속은 촉촉한 독일 전통 돼지 앞다리 바비큐를 즐겨보세요!","14,400원",20%,1개,650g,샛별배송/택배배송,냉동/종이포장
